[0.19467804,0.24726634];[-1.36412657e-03,8.13749893e-04,3.03854961e-01,9.52716975e-01];[[4.20000006, -0.29999996], [2.60835862, -0.32540473], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[238.9188822320552], [1489.4944058666133], [0], [0], [0], [0], [0], [0], [0], [0]];[2.60835862,-0.32540473]
[2.36123959,-0.27435361];[4.82715355e-04,-4.74684187e-05,-9.49175513e-02,9.95485023e-01];[[3.93448194, -1.28432251], [0.53770918, -0.13055084], [4.58892679, 0.40971974], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[45.42741957526726], [11385.235999521701], [0.0], [0], [0], [0], [0], [0], [0], [0]];[0.53770918,-0.13055084]
[3.847267,-1.18137006];[0.00191937,0.00097,-0.41078905,0.91172788];[[1.25843806, -4.25583854], [3.90000006, -5.24999978], [5.50000008, 1.60000033], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[21.23238156553027], [21.23238156553028], [21.23238156553028], [0], [0], [0], [0], [0], [0], [0]];[3.90000006,-5.24999978]
[3.90044753,-5.00774795];[0.00261373,0.00167361,-0.69497763,0.71902467];[[6.20000009, -5.30000016], [5.50000008, 1.59999995], [0.50000001, -2.80000012], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[219.68267045661648], [191.06253563631387], [205.0922225175351], [0], [0], [0], [0], [0], [0], [0]];[6.20000009,-5.30000016]
[0.74779001,-2.90718726];[0.00652059,-0.00177834,0.98112461,0.19325844];[[6.34054364, -5.39287022], [0.89823588, -5.3964155], [-0.87914416, -0.49325814], [5.60000007, 1.60000033], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[155.43428620874275], [164.08825694626663], [982.6269005723167], [147.57455911878935], [0], [0], [0], [0], [0], [0]];[-0.87914416,-0.49325814]
[-0.73777439,-0.70350485];[7.47340962e-03,-2.61670750e-04,8.91116316e-01,4.53713339e-01];[[-1.336091, -1.39600967], [6.20000015, -5.29999978], [5.60000014, 1.60000033], [0.49293166, -3.21354222], [5.66244127e-08, 1.60000033], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[650.5315536813397], [146.26100310688832], [146.2235839035568], [258.30960166101653], [161.18547372460137], [0], [0], [0], [0], [0]];[-1.336091,-1.39600967]
[-1.40515529,-1.53408055];[-0.00755584,0.00279549,0.94662703,-0.3222303];[[0.28942363, 0.95097298], [6.20000015, -5.29999978], [5.60000014, 1.60000033], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[151.75540888046365], [144.86668153728615], [272.4184004897394], [0], [0], [0], [0], [0], [0], [0]];[5.60000014,1.60000033]
[5.37905231,1.4672349];[2.14404668e-03,8.87201117e-04,3.23038200e-01,9.46383075e-01];[[6.26052097, -5.95059922], [-1.85353394, -4.39344805], [7.80000037, -5.59999978], [4.60000033, 2.30000034], [-0.29999975, 1.60000033], [-1.59999977, -2.39999973], [-1.74134159, -0.16547924], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[269.07628763200717], [258.92837640240907], [236.71397813700943], [292.2411047377764], [692.853170744198], [272.4264921723317], [568.3162284407184], [0], [0], [0]];[-0.29999975,1.60000033]
[0.30338629,0.41682788];[-2.11875608e-04,-9.26493226e-05,2.12536335e-01,9.77153134e-01];[[0.95857408, -5.40514954], [7.80000031, -5.59999978], [6.20000029, -5.29999978], [-1.99999983, -2.79999974], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[226.35701157017982], [197.88623940242752], [219.82909960415938], [226.47430642182275], [0], [0], [0], [0], [0], [0]];[-1.99999983,-2.79999974]
[-1.56961469,-2.58535672];[-0.00192682,0.00333641,-0.08338277,0.99651015];[[0.89758863, -5.91591542], [7.80000031, -5.60000006], [6.20000029, -5.30000006], [-3.49999985, -5.30000006], [-4.19999986, -2.60000002], [-4.20424223, 2.28314805], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[9.285734094599364], [6.146735487643799], [6.580620347100978], [6.76488011305342], [6.912516717978022], [4.843316688120736], [0], [0], [0], [0]];[0.89758863,-5.91591542]
[0.79454074,-5.70763129];[-0.00783216,0.00645726,-0.52153507,0.85316946];[[-3.74759235, -5.53702248], [7.80000014, -5.59999958], [6.20000011, -5.29999958], [-4.30000004, -2.39999953], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[6.155854228152443], [5.641369199322502], [6.012640681213182], [6.024239083602091], [0], [0], [0], [0], [0], [0]];[-3.74759235,-5.53702248]
[-3.68896373,-5.50358255];[0.01608273,0.01626958,0.99556587,-0.09124275];[[7.80000043, -5.59999958], [6.2000004, -5.29999958], [-3.59999974, -0.79999951], [-5.31393433, -6.48230743], [-7.1999998, -5.39999958], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[17.894189387247188], [18.27678288659861], [19.084731825787163], [19.51150728473409], [19.084731825787138], [0], [0], [0], [0], [0]];[-5.31393433,-6.48230743]
[-5.10891697,-6.36539264];[0.01781197,0.01412434,0.97155304,-0.23572849];[[7.80000043, -5.59999958], [6.2000004, -5.29999958], [-3.59999974, -0.79999951], [-7.0999998, -5.29999958], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[17.422500436714827], [18.16280590813197], [18.5531751938948], [18.957898532460845], [0], [0], [0], [0], [0], [0]];[-7.0999998,-5.29999958]
[-7.33302881,-5.19662733];[0.0139987,0.01726231,0.99120465,-0.13045844];[[7.80000043, -5.59999958], [6.2000004, -5.29999958], [-5.09999977, -0.3999995], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[16.10555287115354], [16.414297089337406], [17.75697331683233], [0], [0], [0], [0], [0], [0], [0]];[-5.09999977,-0.3999995]
[-5.20098258,-0.53101319];[-0.00760868,0.01951958,0.42995809,0.90260575];[[6.80094299, -5.40395987], [-6.14999978, 2.25000054], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[0.0], [0.0], [0], [0], [0], [0], [0], [0], [0], [0]];[6.80094299,-5.40395987]
