[0.17438702,0.22478518];[-7.18813834e-04,6.32496055e-04,2.92339821e-01,9.56314028e-01];[[0.19203435, -0.04427207], [3.40000005, -0.29999999], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[497602.02726829075], [11.358162318514244], [0], [0], [0], [0], [0], [0], [0], [0]];[0.19203435,-0.04427207]
[2.31174101,-0.2284321];[-2.80703374e-04,9.68629528e-04,4.64779785e-02,9.98918806e-01];[[6.00000009, -1.7], [4.00000006, -1.39999999], [0.40000001, -0.99999999], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[17.232694547389492], [19.45224517035884], [17943.36440805629], [0], [0], [0], [0], [0], [0], [0]];[0.40000001,-0.99999999]
[0.27498149,-1.00165972];[-0.00217966,-0.00616562,0.95888994,-0.28370289];[[-0.13453663, -0.05165438], [6.70000007, 1.40000011], [4.10000004, -1.39999993], [-2.20000006, 0.10000009], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[7038.638715371045], [4258.400999522528], [3566.6063978789275], [68.62073255060149], [0], [0], [0], [0], [0], [0]];[-0.13453663,-0.05165438]
[0.00476128,-0.27810167];[-0.00144162,-0.00644101,0.88641642,0.46284161];[[-0.1359499, -0.05241268], [6.70000007, 1.40000011], [4.10000004, -1.39999993], [-2.20000006, 0.10000009], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[2918.913919319518], [60.377528668494584], [64.98076094092985], [69.36717531804021], [0], [0], [0], [0], [0], [0]];[-0.1359499,-0.05241268]
[0.0043002,-0.2772981];[-0.00117235,-0.00729431,0.88643721,0.4627899];[[0.12810835, -0.55960203], [3.78754379, -1.30677728], [6.69999997, 1.40000011], [-2.60000017, 8.64267351e-08], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[3392.853307562267], [65.13959999670521], [60.3529263742116], [69.72097303908328], [0], [0], [0], [0], [0], [0]];[0.12810835,-0.55960203]
[-2.35099254,-0.05308474];[-0.0034951,-0.00554321,0.99409401,0.10832434];[[4.31348283, -1.4540771], [6.70000009, 1.40000011], [-0.30000001, -1.19999993], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[5007.2897434242195], [1084.1682227405786], [138.01363116366542], [0], [0], [0], [0], [0], [0], [0]];[4.31348283,-1.4540771]
[3.50945148,-0.69815261];[3.02699849e-03,4.09065448e-04,-2.89217306e-01,9.57258595e-01];[[5.5000003, 1.95000013], [0.22327495, 0.59610298], [4.90000029, -2.59999994], [-0.29999979, -1.19999992], [-3.51072907, -0.00305623468], [-6.49999988, -1.49999992], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[0.10093338008252593], [0.48231744925293485], [0.0], [10.13663195099847], [0.6844711740125955], [0.09042468879384509], [0], [0], [0], [0]];[-0.29999979,-1.19999992]
[-0.38930785,-1.18448846];[-0.00166953,-0.00160313,0.9866604,-0.16277559];[[5.19440018, -3.75211104], [-3.73333311, -3.86666642], [-6.43333315, -1.33333305], [5.50000034, 2.00000033], [-2.24999977, 1.85000033], [0.50000032, -5.49999978], [0.40000032, -3.69999975], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[3.384520753413931], [6.127345874324199], [3.3910725462647315], [117.95729303057075], [3.5830544207230046], [3.577065785281331], [3.7836965938599616], [0], [0], [0]];[5.50000034,2.00000033]
[5.38549886,1.89356629];[0.00636526,-0.00461231,0.36327063,0.9316505];[[0.40642104, 2.55154228], [-3.39659314, -3.79631908], [5.05000029, -3.44999985], [-1.64999981, 2.10000024], [-3.80186582, -0.73285434], [4.70000028, 2.20000024], [0.60000022, -5.99999988], [-6.79999989, -1.39999982], [0.0, 0.0], [0.0, 0.0]];[[122.81051470287125], [4710.13752969113], [87.03130739938194], [311.21124303447357], [948.6017601560245], [91.19192444424408], [182.29859910396874], [267.9558987928769], [0], [0]];[-3.39659314,-3.79631908]
[-3.21045005,-3.66002448];[-0.00483249,-0.00155414,0.93739604,-0.34822823];[[-5.99894945, -1.46567977], [-1.79999972, 2.10000033], [5.74010849, 2.71151614], [3.90000037, 2.00000033], [0.30000031, -3.29999975], [0.20000031, 2.60000034], [-3.29999974, -4.79999977], [-7.3999998, -2.99999974], [0.0, 0.0], [0.0, 0.0]];[[90.02334181815147], [87.1114314689679], [167.5461580504477], [215.22227613219673], [263.9485568301967], [1025.5543473154084], [196.15040298654165], [89.29574146532545], [0], [0]];[0.20000031,2.60000034]
