[3.25674658,-0.36257795];[1.39061029e-03,4.95575351e-04,-8.25730494e-02,9.96583923e-01];[[5.55000008, 1.45], [0.44574131, -0.40952849], [4.10000006, -1.50000004], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[0.0], [3031.5569609901236], [67.47434050099362], [0], [0], [0], [0], [0], [0], [0]];[0.44574131,-0.40952849]
[0.6999457,-0.38131959];[-8.44976728e-04,2.00797780e-03,9.96729353e-01,-8.07827781e-02];[[-0.87519367, -0.57626678], [2.99486943, -2.92606579], [6.20000019, -5.10000009], [5.60000018, 1.90000002], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[553.5629748583684], [47.010605302910335], [40.62981153102528], [46.92196033856844], [0], [0], [0], [0], [0], [0]];[-0.87519367,-0.57626678]
[-1.08130697,-0.65964731];[-0.00479303,0.00197161,0.99915792,0.04070132];[[-0.38510167, 0.22762517], [6.49011544, -5.03385845], [3.72348654, -3.4694678], [5.10407336, 1.80134404], [0.10000006, -1.59999983], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[55.99862223078944], [6.766551674567345], [7.559314925940924], [119.2447281508065], [81.18372305912378], [0], [0], [0], [0], [0]];[5.10407336,1.80134404]
[5.16842687,1.79681857];[3.26005438e-03,-9.24392861e-04,3.04264758e-01,9.52581477e-01];[[0.02128017, 2.14081299], [-1.2906239, -1.52218162], [6.80169819, -5.21654986], [3.50000011, -3.39999985], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[10.966271993049366], [19.766489104556413], [10.421005554634634], [10.945041170035198], [0], [0], [0], [0], [0], [0]];[-1.2906239,-1.52218162]
[-1.06518218,-1.39646068];[-2.20930203e-03,8.20516927e-04,9.68783463e-01,-2.47897245e-01];[[-2.60465884, -3.22350497], [6.39497795, -5.04425953], [0.20000028, 2.20000023], [3.60000033, -4.29999987], [2.8872273, 1.81731141], [0.80000029, -2.59999984], [-3.99999978, -0.59999981], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[10.37313531045549], [9.614973668692004], [10.015203820098113], [9.993162527646799], [9.60440880013174], [10.395803047621566], [9.990854309433367], [0], [0], [0]];[0.80000029,-2.59999984]
[0.57003533,-2.46370952];[-7.34403807e-04,9.36934845e-04,-2.65856888e-01,9.64011772e-01];[[6.1211287, -4.85542339], [2.98908579, 1.95041633], [0.20000028, 2.20000033], [3.60000033, -4.29999977], [0.50000028, -3.49999976], [-1.39999975, -3.79999976], [-3.29999978, -4.59999977], [-3.79999978, -3.09999975], [0.0, 0.0], [0.0, 0.0]];[[9.0377368734289], [9.040638893538645], [24.748254166199796], [9.356971979637303], [9.726236805710064], [14.180648835116626], [9.370555365543881], [21.616159623893125], [0], [0]];[0.20000028,2.20000033]
[0.18350736,1.95217777];[-0.00614992,0.00545751,0.6516303,0.75849215];[[3.84564056, -5.20399483], [4.05852363, 2.25305743], [0.34889277, 2.97119455], [0.32745275, -2.55622956], [6.53838015, 2.81016016], [6.30000037, -5.09999978], [-1.39999975, -3.79999976], [-3.79999978, -3.09999975], [0.0, 0.0], [0.0, 0.0]];[[7.49067367547612], [7.715429248280129], [7.960313813011548], [15.623814684559436], [10.48538657986577], [7.29306022864194], [7.497393910934915], [16.010816741899298], [0], [0]];[-3.79999978,-3.09999975]
[-3.94358639,-3.24739281];[-0.00306698,-0.00168755,-0.84872159,0.5288283];[[3.75000056, -5.59999988], [0.50000051, -3.19999984], [-4.49999956, -5.59999988], [-5.29999958, -0.5999998], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[0.0], [0.0], [0.0], [0.0], [0], [0], [0], [0], [0], [0]];[3.75000056,-5.59999988]
[3.71180135,-5.62044071];[-0.0085856,0.0039114,-0.02674674,0.99959771];[[7.91425943, 2.44045067], [-4.49999956, -5.59999978], [-5.29999958, -0.59999971], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[3.6480993990958575], [3.9740442926941606], [3.892574451388837], [0], [0], [0], [0], [0], [0], [0]];[-4.49999956,-5.59999978]
[-4.25185873,-5.62562454];[0.00197827,0.00985267,0.99648123,0.08321158];[[-4.95806429, -2.41036537], [-5.29999958, -0.59999971], [-7.29999961, -3.99999976], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[10.128610357158124], [10.128610357158106], [10.128610357158111], [0], [0], [0], [0], [0], [0], [0]];[-4.95806429,-2.41036537]
[-5.99659155,1.93348767];[-0.00352909,0.00514638,0.57001915,0.82160771];[[7.68589187, 2.80348527], [-4.84329388, 4.84108109], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[12.651934148601164], [7.650622826319209], [0], [0], [0], [0], [0], [0], [0], [0]];[7.68589187,2.80348527]
[-6.24137987,5.09653487];[-0.00328406,0.01612626,0.9995736,-0.02412002];[[0.40000033, 6.6000004], [-6.49999977, 8.00000042], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[11.847678749771644], [11.843808758579014], [0], [0], [0], [0], [0], [0], [0], [0]];[0.40000033,6.6000004]
[0.140689,6.53965465];[-0.01216057,0.01106299,0.10317362,0.99452749];[[2.10000036, 5.80000039], [-6.49999977, 8.00000042], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[0.22004023289742233], [0.2162116285507527], [0], [0], [0], [0], [0], [0], [0], [0]];[2.10000036,5.80000039]
