[3.53164491,-0.09446742];[9.98027409e-04,6.19175410e-04,1.45640214e-02,9.99893250e-01];[[6.31811501, -2.27114971], [5.60000008, 1.60000013], [4.00000006, -1.59999992], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[172.50376456618895], [189.999775875918], [190.80101272015975], [0], [0], [0], [0], [0], [0], [0]];[4.00000006,-1.59999992]
[3.92571446,-1.34864898];[-6.27698075e-04,9.72318943e-05,-6.03947729e-01,7.97023685e-01];[[5.80817203, -3.35088905], [1.30000002, -3.84999984], [5.10000008, 1.90000024], [4.20000006, -5.09999986], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[307.4518726639292], [286.29332224724925], [284.6978115793317], [285.26071891264536], [0], [0], [0], [0], [0], [0]];[5.80817203,-3.35088905]
[5.61402404,-3.18853133];[0.00102488,0.00228492,-0.350505,0.93655752];[[5.00000008, 1.90000034], [1.28444636, -5.70501804], [0.70000001, -3.99999975], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[3.0507845081714713], [2.8369164187509894], [3.055636158830775], [0], [0], [0], [0], [0], [0], [0]];[0.70000001,-3.99999975]
[4.98657199,1.64549449];[4.14224259e-03,1.15613731e-04,6.82507903e-01,7.30866464e-01];[[-0.16124585, -0.49005751], [2.90000008, 2.20000034], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[63.11031369908504], [5.440360451510908], [0], [0], [0], [0], [0], [0], [0], [0]];[-0.16124585,-0.49005751]
[0.06079266,-0.3795505];[4.14420030e-04,9.58257241e-04,9.83820850e-01,-1.79151987e-01];[[1.37297147, -6.06782594], [1.50000008, 1.80000034], [-0.59999995, -1.69999972], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[13.308866937324341], [13.854810124651744], [162.3146803114252], [0], [0], [0], [0], [0], [0], [0]];[-0.59999995,-1.69999972]
[-0.50226107,-1.46062747];[-6.70743928e-04,-2.93010336e-04,-8.35976956e-01,5.48764059e-01];[[1.24513385, -5.7725371], [1.50000028, 1.80000034], [-2.09999977, -3.59999974], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[13.781037290902026], [13.781037290902013], [14.34522330110197], [0], [0], [0], [0], [0], [0], [0]];[-2.09999977,-3.59999974]
[-2.31688994,-3.74728834];[-4.36262892e-04,2.63636666e-04,9.21165751e-01,-3.89170134e-01];[[-5.29439023, -0.79412013], [1.50000053, 1.80000034], [-3.69999955, -5.29999977], [-7.39999961, -3.59999974], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[11.386621360032313], [11.047352951161134], [11.745390868992308], [11.047352951161155], [0], [0], [0], [0], [0], [0]];[-3.69999955,-5.29999977]
[-3.89151743,-5.45302567];[-3.59066535e-03,-7.91561781e-04,-8.56314351e-01,5.16441890e-01];[[-1.49999952, -5.04999977], [-7.29999961, -4.29999975], [1.50000053, 1.80000034], [0.19517297, -6.02416134], [-3.09999954, -6.59999979], [-4.99999957, -0.7999997], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[10.404941101612913], [10.404941101612913], [9.849773255071291], [10.404941101612927], [10.704855009505144], [10.404941101612907], [0], [0], [0], [0]];[-3.09999954,-6.59999979]
[-3.24622246,-6.38790587];[0.00558659,0.00559393,-0.46559613,0.88496201];[[-7.23389968, -4.03494186], [1.50000053, 1.80000034], [-4.99999957, -0.7999997], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[10.045675822783926], [9.529305523244748], [9.781091080278157], [0], [0], [0], [0], [0], [0], [0]];[-7.23389968,-4.03494186]
[-7.49546564,-3.98438335];[0.00370013,-0.00237296,0.97385793,0.22711539];[[-6.25507025, -0.83169593], [1.50000053, 1.80000034], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[9.632700073919152], [8.996477147117838], [0], [0], [0], [0], [0], [0], [0], [0]];[-6.25507025,-0.83169593]
[-6.36529945,-1.06318488];[0.00391339,0.00148154,0.53348467,0.84579938];[[-2.54999953, 1.75000034], [1.50000053, 1.80000034], [-7.29999961, 0.90000032], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[9.667312010417875], [17.557587982868114], [9.888162142305656], [0], [0], [0], [0], [0], [0], [0]];[1.50000053,1.80000034]
[1.2559889,1.75122688];[-0.00372419,0.00130811,0.08829842,0.99608625];[[1.50000053, 5.00000038], [-1.09999951, 4.30000037], [-1.99999953, 2.00000034], [-5.19999957, 2.00000034], [-7.49999961, 1.50000033], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[10.734486170652909], [10.734486170652891], [10.734486170652886], [10.517865928538331], [10.51786592853834], [0], [0], [0], [0], [0]];[1.50000053,5.00000038]
[-0.26140422,4.02052361];[-2.14316273e-03,-7.29144895e-04,4.39812613e-01,8.98086712e-01];[[3.10807726, 2.79886537], [-7.21558661, 1.2559719], [1.79999977, 5.60000039], [-4.00000032, 5.10000039], [-5.60000034, 4.00000037], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[14.034165028403883], [13.783184861429172], [14.034165028403896], [14.03416502840391], [14.034165028403866], [0], [0], [0], [0], [0]];[-4.00000032,5.10000039]
[-3.75833023,5.03725594];[-4.71241553e-04,1.91656105e-03,9.90996367e-01,1.33874177e-01];[[1.80000015, 5.60000039], [-7.40000037, 1.60000033], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[0.0], [0.0], [0], [0], [0], [0], [0], [0], [0], [0]];[1.80000015,5.60000039]
[0.18646956,6.53013972];[-0.00379865,0.00139819,-0.11700097,0.99312355];[[2.41247773, 5.58208656], [-7.1499996, 1.25000033], [2.80000055, 3.20000036], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[0.0], [0.0], [0.0], [0], [0], [0], [0], [0], [0], [0]];[2.41247773,5.58208656]
[-0.1342903,6.2187808];[0.0036206,0.00510281,-0.68710212,0.72653392];[[-7.15000036, 1.25000033], [2.79999979, 3.20000036], [-6.50000035, 7.20000042], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[0.0], [0.0], [0.0], [0], [0], [0], [0], [0], [0], [0]];[-7.15000036,1.25000033]
