[3.43869097,-0.64465058];[3.57406198e-04,-5.42865925e-04,-2.66172806e-01,9.63925114e-01];[[5.40000008, 1.59999991], [0.40000001, -1.20000013], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[12.939918613360925], [5089.510217235854], [0], [0], [0], [0], [0], [0], [0], [0]];[0.40000001,-1.20000013]
[0.16085676,-1.13217132];[4.77594218e-04,1.70739238e-03,9.99636114e-01,2.69166668e-02];[[3.30154306, -3.03869553], [0.33521411, -0.85068565], [5.70000007, -3.30000007], [5.40000007, 1.60000001], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[11.07980378801186], [5251.720874820764], [10.237763884783076], [10.237763884783003], [0], [0], [0], [0], [0], [0]];[0.33521411,-0.85068565]
[0.47854096,-0.63755379];[-2.70697633e-03,-3.90555207e-04,5.88907130e-01,8.08196076e-01];[[5.52775041, 1.73188435], [0.50867967, -1.47264858], [3.59349087, -3.28739112], [5.70000034, -3.30000007], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[10.336310879604262], [2318.7155007055712], [10.336310879604262], [9.618282373404286], [0], [0], [0], [0], [0], [0]];[0.50867967,-1.47264858]
[0.5048165,-1.69594991];[0.01354273,0.00802973,-0.60124896,0.79890663];[[4.5506526, -3.65583884], [-0.60167396, 1.66189757], [5.40000034, 1.60000001], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[8.591561171752002], [8.591561171751998], [8.086191124386268], [0], [0], [0], [0], [0], [0], [0]];[4.5506526,-3.65583884]
[-0.51118685,1.4202202];[3.00739626e-03,-6.32298060e-04,8.17708808e-01,5.75623889e-01];[[4.69702204, 1.47662407], [4.11171271, -4.75818236], [5.70000034, -3.29999975], [0.80000027, 2.50000034], [-0.29999975, 3.80000036], [-0.39999975, -4.89999977], [-0.48885632, -1.84407115], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[9.64389819336215], [9.211886552682898], [9.21188655268288], [10.115785740806349], [10.115785740806349], [9.211886552682893], [154.3061303894068], [0], [0], [0]];[-0.48885632,-1.84407115]
[-0.52053408,-1.58841945];[0.00354446,0.00356558,-0.67307005,0.73956166];[[5.52085532, 1.71038813], [-2.26829306, 1.26661563], [-3.04999988, -0.0499997], [5.70000025, -3.29999975], [4.30000023, -4.99999977], [0.80000018, 2.60000034], [-0.39999984, -4.89999977], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[24.434258055841752], [10.068511798561305], [10.51322571978975], [9.657716230660006], [10.068511798561294], [95.9558094804756], [10.068511798561302], [0], [0], [0]];[0.80000018,2.60000034]
[0.69169267,2.36455444];[0.00719961,0.00149967,0.5388441,0.8423734];[[-3.33859947, -0.49927213], [5.59907158, 1.7066761], [2.3000002, 2.05000033], [5.70000025, -3.29999975], [4.30000023, -4.99999977], [-1.19999985, 5.10000038], [-2.89999987, -3.49999975], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[43.29584953425238], [43.28855473175385], [44.6782569525993], [40.61396436840764], [40.6881182577971], [43.30508267112003], [63.498225074132954], [0], [0], [0]];[-2.89999987,-3.49999975]
[-2.75679395,-3.2963743];[-0.00264792,-0.00188476,0.88942237,-0.45707468];[[3.10112047, 1.88823903], [-1.2, 5.20000059], [-3.29999974, -5.09999956], [-4.79999976, -5.79999958], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[67.1422877238139], [44.66000732624242], [13.331861309121235], [12.946856657884732], [0], [0], [0], [0], [0], [0]];[3.10112047,1.88823903]
[3.11078099,1.94724578];[1.12839467e-03,-9.17066971e-04,2.37187489e-01,9.71462804e-01];[[-4.40365611, -5.63796348], [-1.20757568, 5.22339854], [6.2000004, -5.00000015], [5.9000004, -3.40000013], [4.60000038, -5.10000015], [1.90000034, 5.60000001], [-0.3999997, 6.60000002], [-2.19999972, 1.69999995], [-3.19999974, -0.30000008], [-6.49999979, -1.4000001]];[[15.327848251667472], [16.11241709958574], [15.711677783017937], [15.711677783017937], [15.711677783017917], [15.711677783017937], [15.711677783017937], [16.112417099585734], [21.058374525715195], [15.327848251667508]];[-3.19999974,-0.30000008]
[-0.64560641,0.04469254];[0.00875657,0.00715043,0.91817289,-0.3960186];[[-1.22664868, 5.4627376], [6.2000004, -5.00000015], [5.9000004, -3.40000013], [4.60000038, -5.10000015], [-3.19999974, -0.30000008], [-3.59999974, -5.90000017], [-6.49999979, -1.4000001], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[32.56603829510787], [31.288830625184243], [31.911670260894333], [31.921495392397233], [33.30361768844227], [31.940911093641873], [31.91335036872055], [0], [0], [0]];[-3.19999974,-0.30000008]
[-1.14737057,5.21754642];[1.31749379e-03,-6.03975196e-04,8.02902237e-01,5.96108946e-01];[[-3.98736201, -5.82343358], [4.45000038, -5.00000015], [-3.84999975, 5.35], [5.9000004, -3.40000013], [4.90000038, 2.39999996], [-3.29999974, -0.30000008], [-6.39999979, -1.4000001], [-7.3999998, -4.80000015], [0.0, 0.0], [0.0, 0.0]];[[33.4665039029687], [68.53299311275272], [36.317250477576906], [33.52069303206228], [58.94724715854237], [38.699004111117254], [34.180898509647456], [33.46406338052554], [0], [0]];[4.45000038,-5.00000015]
[4.2423719,-4.77332822];[0.00184861,0.00200984,-0.40615177,0.91380156];[[2.19999978, -5.59999977], [-3.2000003, -0.29999969], [-3.60000031, -5.79999977], [-5.40000034, 3.50000037], [-6.10000035, -1.2999997], [-7.29044294, -2.80546951], [-7.40000037, -4.59999975], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[47.87053120170156], [46.22260483024708], [46.22582568029431], [44.682989361306404], [45.42725783468482], [50.80185064303955], [44.587920026619], [0], [0], [0]];[-7.29044294,-2.80546951]
[-7.25962406,-2.82278764];[0.00832079,-0.00315252,0.97896108,0.20385295];[[-5.70981787, 6.77135703], [-3.60000031, -5.79999977], [-5.40000034, 3.50000037], [-5.90000034, 0.10000032], [-7.30000037, -5.49999976], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[0.10699315320638396], [0.1085131160251455], [0.10853202650809902], [0.11007677452761279], [0.11158283238940239], [0], [0], [0], [0], [0]];[-7.30000037,-5.49999976]
[-7.32225524,-5.25914154];[0.00155951,0.00810024,-0.68644318,0.72713666];[[-3.60000031, -5.79999977], [-5.40000034, 3.50000037], [-5.60000034, 6.50000041], [-5.90000034, 0.10000032], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[0.10780729375600727], [0.10480299173495862], [0.1033742068414392], [0.10776066091222507], [0], [0], [0], [0], [0], [0]];[-3.60000031,-5.79999977]
[-3.85284193,-5.82999382];[0.01164624,0.00749533,0.05174412,0.99856433];[[-5.65330184, 3.78671903], [-5.60000034, 6.50000041], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[0.09986217324817383], [0.09857696670570391], [0], [0], [0], [0], [0], [0], [0], [0]];[-5.65330184,3.78671903]
[-6.72974592,5.91865918];[1.41913019e-02,1.32123201e-04,9.09517162e-01,4.15424018e-01];[[7.91065693, 2.47755337], [-7.06535292, 0.21458831], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[0.08964809260825005], [0.09277738868174763], [0], [0], [0], [0], [0], [0], [0], [0]];[-7.06535292,0.21458831]
[-7.0960219,0.45255073];[-0.00225707,0.0185262,-0.67232628,0.74001964];[[7.90056896, 2.43650866], [2.60114861, 3.58956194], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[0.0832590405945221], [0.08503415460634907], [0], [0], [0], [0], [0], [0], [0], [0]];[2.60114861,3.58956194]
