[2.66732824,-0.34316122];[1.09407650e-03,3.89327943e-04,-9.06433254e-02,9.95882752e-01];[[5.80000009, -0.30000002], [3.80000006, -1.50000004], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[196.32724353344472], [221.92982160156168], [0], [0], [0], [0], [0], [0], [0], [0]];[3.80000006,-1.50000004]
[3.78821629,-1.44875718];[1.73226933e-03,-2.44435125e-04,-4.98804656e-01,8.66712664e-01];[[4.40000007, -5.59999998], [1.96157683, -3.63543331], [5.10000008, 1.90000013], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[95.82971024177176], [104.84498387328608], [96.65949686250575], [0], [0], [0], [0], [0], [0], [0]];[1.96157683,-3.63543331]
[2.11791472,-3.45903567];[2.95330681e-04,6.23205549e-04,9.10764859e-01,-4.12924818e-01];[[0.7896468, -3.80043683], [5.10000007, 1.90000034], [-0.11105499, 0.15686496], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[99.72433385984782], [84.87531979355875], [862.496120681503], [0], [0], [0], [0], [0], [0], [0]];[-0.11105499,0.15686496]
[-0.06467268,0.00847013];[-0.00384995,0.00171136,0.8171558,0.57640147];[[5.39999995, 2.00000033], [-1.40000015, -1.39999972], [-1.40000015, -3.29999975], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[68.00006050317856], [386.57467601962105], [71.90539408195563], [0], [0], [0], [0], [0], [0], [0]];[-1.40000015,-1.39999972]
[-1.22990809,-1.23717334];[0.00392571,0.00872202,0.93762756,-0.34750982];[[-1.77036718, -2.90265377], [5.40000036, 2.00000033], [-0.29999972, 1.40000032], [-1.69999975, 2.30000034], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[2.012822916654665], [35.91119348519273], [15.338271697227288], [1.9017849197704935], [0], [0], [0], [0], [0], [0]];[5.40000036,2.00000033]
[5.34917341,1.93621607];[0.00555439,-0.00286133,0.34470341,0.93869085];[[-1.76253715, -4.07206163], [-0.68172644, 1.68394461], [4.50000006, 2.20000034], [0.9, -4.59999977], [-1.04308127e-08, 3.50000035], [-1.30000003, -1.39999972], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[851.2551097686343], [669.8146592976892], [317.36262816462056], [291.5867800782786], [303.5621756103549], [801.2652809109106], [0], [0], [0], [0]];[-1.76253715,-4.07206163]
[-1.87909013,-4.13018288];[-0.00323904,-0.00156611,0.89831026,-0.43934694];[[1.47980338, -5.88202257], [-0.19472348, 2.51451148], [6.6, -5.49999977], [4.69999997, 2.20000034], [-4.00000016, -3.09999974], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[13.57686334693581], [13.08295562211975], [12.620146066632756], [24.844857600424017], [14.104738027991251], [0], [0], [0], [0], [0]];[4.69999997,2.20000034]
[4.81259113,1.80213631];[-1.22917279e-03,-9.06702329e-04,9.46006024e-01,-3.24145431e-01];[[7.04246189, -5.65161789], [4.50000028, 2.20000034], [2.13086605e-07, 3.30000036], [-1.51093566, 2.68840456], [-1.59999981, -5.19999977], [-3.79999984, -3.39999974], [-5.6096158, -1.68453515], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[16.79079356719088], [19.078178202501142], [27.137977444340354], [31.51663794587158], [16.29104332275533], [47.88360167719568], [16.29104332275533], [0], [0], [0]];[-3.79999984,-3.39999974]
[-3.59043384,-3.28635035];[-6.08221646e-04,-2.58247971e-03,9.66198954e-01,-2.57783913e-01];[[-3.49999984, -5.39999977], [-6.05646385, -1.14919486], [-7.4499999, -3.94999975], [6.70000031, -5.49999977], [2.13086605e-07, 3.30000036], [-0.8999998, -5.99999978], [-3.83345079, -0.49258941], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[23.58374681487667], [22.967252253375552], [22.967252253375523], [21.810779732767717], [22.376736650169253], [22.967252253375513], [23.58374681487668], [0], [0], [0]];[-3.83345079,-0.49258941]
[-3.80891436,-0.71481386];[0.00438044,-0.00454202,0.73363083,0.67951893];[[-6.05485657, 0.55073194], [6.7000006, -5.49999977], [5.03659248e-07, 3.30000036], [-0.89999951, -5.99999978], [-3.69999955, -5.39999977], [-7.29999961, -4.19999975], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[22.897411044637803], [20.736227791391787], [21.77265006379068], [21.7726500637907], [38.18925189737816], [22.323384007916484], [0], [0], [0], [0]];[-3.69999955,-5.39999977]
